case,range_m,seed,expected,reason,exact,false_abort,seg_ok,refused,clipped,reason_masked,exact_masked,seg_ok_masked,refused_masked,reason_stale_mask,t_classify_s,t_classify_masked_s
clean,2.245,0,none,none,1,0,1,,0,none,1,1,,none,0.015327699999033939,0.02580619999935152
clean,2.245,1,none,none,1,0,1,,0,none,1,1,,none,0.01198399999702815,0.0255133000027854
clean,2.245,2,none,none,1,0,1,,0,none,1,1,,none,0.013719200003833976,0.024658800000906922
clean,2.245,3,none,none,1,0,1,,0,none,1,1,,none,0.013691599997400772,0.025147000000288244
clean,2.245,4,none,none,1,0,1,,0,none,1,1,,none,0.013844300003256649,0.02519929999834858
clean,1.5,0,none,none,1,0,1,,0,none,1,1,,none,0.013995699999213684,0.022671999999147374
clean,1.5,1,none,none,1,0,1,,0,none,1,1,,none,0.012329299999692012,0.022858300006191712
clean,1.5,2,none,none,1,0,1,,0,none,1,1,,none,0.013951500004623085,0.02733769999758806
clean,1.5,3,none,none,1,0,1,,0,none,1,1,,none,0.012720099999569356,0.0238967000041157
clean,1.5,4,none,none,1,0,1,,0,none,1,1,,none,0.012756000003719237,0.02311840000038501
clean,1.0,0,none,none,1,0,1,,0,none,1,1,,none,0.014930999997886829,0.027771900000516325
clean,1.0,1,none,none,1,0,1,,0,none,1,1,,none,0.015599100006511435,0.028272299998207018
clean,1.0,2,none,none,1,0,1,,0,none,1,1,,none,0.015045799998915754,0.027914099999179598
clean,1.0,3,none,none,1,0,1,,0,none,1,1,,none,0.015499900000577327,0.02473640000243904
clean,1.0,4,none,none,1,0,1,,0,none,1,1,,none,0.013002899999264628,0.027338100000633858
forks,2.245,0,none,none,1,0,1,,0,none,1,1,,none,0.01208510000287788,0.024613800000224728
forks,2.245,1,none,none,1,0,1,,0,none,1,1,,none,0.012837200003559701,0.02404969999770401
forks,2.245,2,none,none,1,0,1,,0,none,1,1,,none,0.012228800005686935,0.02469819999532774
forks,2.245,3,none,none,1,0,1,,0,none,1,1,,none,0.013117899994540494,0.023399600002449006
forks,2.245,4,none,none,1,0,1,,0,none,1,1,,none,0.013467800003127195,0.022389199999452103
forks,1.5,0,none,none,1,0,1,,0,none,1,1,,none,0.013799499996821396,0.024851599999237806
forks,1.5,1,none,none,1,0,1,,0,none,1,1,,none,0.013777600004686974,0.0258791999949608
forks,1.5,2,none,none,1,0,1,,0,none,1,1,,none,0.014331000005768146,0.026117699999304023
forks,1.5,3,none,none,1,0,1,,0,none,1,1,,none,0.013999499999044929,0.025232299994968344
forks,1.5,4,none,none,1,0,1,,0,none,1,1,,none,0.01384680000046501,0.02248370000597788
forks,1.0,0,none,none,1,0,0,face_is_too_small_a_share,0,none,1,1,,none,0.013337500000488944,0.026453699996636715
forks,1.0,1,none,none,1,0,0,face_is_too_small_a_share,0,none,1,1,,none,0.014865700002701487,0.02953749999869615
forks,1.0,2,none,none,1,0,0,face_is_too_small_a_share,0,none,1,1,,none,0.014961100001528393,0.026336599999922328
forks,1.0,3,none,none,1,0,0,face_is_too_small_a_share,0,none,1,1,,none,0.015065100000356324,0.026734899998700712
forks,1.0,4,none,none,1,0,0,face_is_too_small_a_share,0,none,1,1,,none,0.015030499998829328,0.027721999998902902
forks_empty,2.245,0,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.013894399999117013,0.04677850000007311
forks_empty,2.245,1,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.013909000001149252,0.047604200000932906
forks_empty,2.245,2,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.014609700003347825,0.04775130000052741
forks_empty,2.245,3,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.014396200000192039,0.04675470000074711
forks_empty,2.245,4,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.014294900000095367,0.046931500000937376
forks_empty,1.5,0,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.014368899996043183,0.043263899999146815
forks_empty,1.5,1,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.014351400001032744,0.04758419999416219
forks_empty,1.5,2,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.014343999995617196,0.05008280000038212
forks_empty,1.5,3,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.014500400000542868,0.046803500001260545
forks_empty,1.5,4,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.014356400002725422,0.04664539999794215
forks_empty,1.0,0,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.014322499999252614,0.04565339999680873
forks_empty,1.0,1,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.014307999997981824,0.048354300000937656
forks_empty,1.0,2,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.014952499994251411,0.04708319999917876
forks_empty,1.0,3,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.014496600000711624,0.0471391000028234
forks_empty,1.0,4,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.014716100005898625,0.04712389999622246
empty_bay,1.5,0,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.03287560000171652,0.0645342999996501
empty_bay,1.5,1,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.03236230000038631,0.06576530000165803
empty_bay,1.5,2,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.03194000000075903,0.06629610000527464
empty_bay,1.5,3,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.032405199999629986,0.06579269999929238
empty_bay,1.5,4,pallet_absent,pallet_absent,1,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,1,0,candidate_falls_away_like_a_floor,none,0.028936200003954582,0.06199170000036247
blocked_by_box,2.245,0,pocket_blocked,pallet_absent,0,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,0,0,candidate_falls_away_like_a_floor,none,0.012993299998925067,0.024767499999143183
blocked_by_box,2.245,1,pocket_blocked,pallet_absent,0,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,0,0,candidate_falls_away_like_a_floor,none,0.013154100000974722,0.024363499993341975
blocked_by_box,2.245,2,pocket_blocked,pallet_absent,0,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,0,0,candidate_falls_away_like_a_floor,none,0.012968099996214733,0.02479910000693053
blocked_by_box,2.245,3,pocket_blocked,pallet_absent,0,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,0,0,candidate_falls_away_like_a_floor,none,0.01284470000246074,0.02447559999563964
blocked_by_box,2.245,4,pocket_blocked,pallet_absent,0,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,0,0,candidate_falls_away_like_a_floor,none,0.011563200001546647,0.022141699999338016
blocked_by_box,1.5,0,pocket_blocked,pallet_absent,0,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,0,0,candidate_falls_away_like_a_floor,none,0.0144397999974899,0.022561800004041288
blocked_by_box,1.5,1,pocket_blocked,pallet_absent,0,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,0,0,candidate_falls_away_like_a_floor,none,0.013269799994304776,0.024755100006586872
blocked_by_box,1.5,2,pocket_blocked,pallet_absent,0,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,0,0,candidate_falls_away_like_a_floor,none,0.012947199997142889,0.02441990000079386
blocked_by_box,1.5,3,pocket_blocked,pallet_absent,0,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,0,0,candidate_falls_away_like_a_floor,none,0.013317799996002577,0.023088200003257953
blocked_by_box,1.5,4,pocket_blocked,pallet_absent,0,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,0,0,candidate_falls_away_like_a_floor,none,0.013073599999188446,0.024388600002566818
blocked_by_box,1.0,0,pocket_blocked,pallet_absent,0,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,0,0,candidate_falls_away_like_a_floor,none,0.013442299998132512,0.02572929999587359
blocked_by_box,1.0,1,pocket_blocked,pallet_absent,0,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,0,0,candidate_falls_away_like_a_floor,none,0.013625599996885285,0.025714800001878757
blocked_by_box,1.0,2,pocket_blocked,pallet_absent,0,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,0,0,candidate_falls_away_like_a_floor,none,0.013729999998759013,0.02651900000637397
blocked_by_box,1.0,3,pocket_blocked,pallet_absent,0,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,0,0,candidate_falls_away_like_a_floor,none,0.013699700000870507,0.025550700003805105
blocked_by_box,1.0,4,pocket_blocked,pallet_absent,0,0,0,candidate_falls_away_like_a_floor,0,pallet_absent,0,0,candidate_falls_away_like_a_floor,none,0.014358200001879595,0.026911199995083734
ridge,1.5,0,stringer_in_path,none,0,0,1,,0,none,0,1,,none,0.01583559999562567,0.025030400000105146
ridge,1.5,1,stringer_in_path,none,0,0,1,,0,none,0,1,,none,0.01361880000331439,0.022407999997085426
ridge,1.5,2,stringer_in_path,none,0,0,1,,0,none,0,1,,none,0.013669299994944595,0.025528400001348928
ridge,1.5,3,stringer_in_path,none,0,0,1,,0,none,0,1,,none,0.013891900001908652,0.0256706000000122
ridge,1.5,4,stringer_in_path,none,0,0,1,,0,none,0,1,,none,0.011772999998356681,0.023428200001944788
ridge,1.0,0,stringer_in_path,none,0,0,1,,0,none,0,1,,none,0.014610099999117665,0.02736949999962235
ridge,1.0,1,stringer_in_path,none,0,0,1,,0,none,0,1,,none,0.013525499998650048,0.02705699999933131
ridge,1.0,2,stringer_in_path,none,0,0,1,,0,none,0,1,,none,0.014317900000605732,0.02677840000251308
ridge,1.0,3,stringer_in_path,none,0,0,1,,0,none,0,1,,none,0.01333110000268789,0.026674499997170642
ridge,1.0,4,stringer_in_path,none,0,0,1,,0,none,0,1,,none,0.014343599999847356,0.027385399997001514
clipped,1.5,0,none,none,1,0,1,,1,none,1,1,,none,0.013379099997109734,0.025345900001411792
clipped,1.5,1,none,none,1,0,1,,1,none,1,1,,none,0.0119739000001573,0.024191399999835994
clipped,1.5,2,none,none,1,0,1,,1,none,1,1,,none,0.012446500004443806,0.02479229999880772
clipped,1.5,3,none,none,1,0,1,,1,none,1,1,,none,0.013579300000856165,0.02436139999917941
clipped,1.5,4,none,none,1,0,1,,1,none,1,1,,none,0.01363149999815505,0.0235709999979008
clipped,1.0,0,none,none,1,0,1,,1,none,1,1,,none,0.014073899998038542,0.025036200000613462
clipped,1.0,1,none,none,1,0,1,,1,none,1,1,,none,0.012768699998559896,0.02554930000042077
clipped,1.0,2,none,none,1,0,1,,1,none,1,1,,none,0.01246979999996256,0.023889699994469993
clipped,1.0,3,none,none,1,0,1,,1,none,1,1,,none,0.01411519999965094,0.025279399997089058
clipped,1.0,4,none,none,1,0,1,,1,none,1,1,,none,0.013984700002765749,0.026278400000592228
rotated_pos,1.5,0,pallet_rotated,pallet_rotated,1,0,1,,0,pallet_rotated,1,1,,none,0.013128400001733098,0.02455109999573324
rotated_pos,1.5,1,pallet_rotated,pallet_rotated,1,0,1,,0,pallet_rotated,1,1,,none,0.012717899997369386,0.02193200000328943
rotated_pos,1.5,2,pallet_rotated,pallet_rotated,1,0,1,,0,pallet_rotated,1,1,,none,0.012802500001271255,0.02179479999904288
rotated_pos,1.5,3,pallet_rotated,pallet_rotated,1,0,1,,0,pallet_rotated,1,1,,none,0.013102799995976966,0.022761000000173226
rotated_pos,1.5,4,pallet_rotated,pallet_rotated,1,0,1,,0,pallet_rotated,1,1,,none,0.013075499999104068,0.02281109999603359
rotated_neg,1.5,0,pallet_rotated,pallet_rotated,1,0,1,,0,pallet_rotated,1,1,,none,0.012880199996288866,0.023922899999888614
rotated_neg,1.5,1,pallet_rotated,pallet_rotated,1,0,1,,0,pallet_rotated,1,1,,none,0.012759799996274523,0.024086500001430977
rotated_neg,1.5,2,pallet_rotated,pallet_rotated,1,0,1,,0,pallet_rotated,1,1,,none,0.012800299999071285,0.022763599998143036
rotated_neg,1.5,3,pallet_rotated,pallet_rotated,1,0,1,,0,pallet_rotated,1,1,,none,0.012860500006354414,0.023928099995828234
rotated_neg,1.5,4,pallet_rotated,pallet_rotated,1,0,1,,0,pallet_rotated,1,1,,none,0.013237899998784997,0.024289699998917058
shifted,1.5,0,pallet_shifted,pallet_shifted,1,0,1,,0,pallet_shifted,1,1,,none,0.013807300005282741,0.025395399999979418
shifted,1.5,1,pallet_shifted,pallet_shifted,1,0,1,,0,pallet_shifted,1,1,,none,0.013673500005097594,0.024054099994827993
shifted,1.5,2,pallet_shifted,pallet_shifted,1,0,1,,0,pallet_shifted,1,1,,none,0.013852999996743165,0.026099100003193598
shifted,1.5,3,pallet_shifted,pallet_shifted,1,0,1,,0,pallet_shifted,1,1,,none,0.013951499997347128,0.02548180000303546
shifted,1.5,4,pallet_shifted,pallet_shifted,1,0,1,,0,pallet_shifted,1,1,,none,0.013645599996380042,0.02559589999873424
pockets_filled,1.5,0,pocket_blocked,pocket_blocked,1,0,1,,0,pocket_blocked,1,1,,none,0.01369680000061635,0.0252907000030973
pockets_filled,1.5,1,pocket_blocked,pocket_blocked,1,0,1,,0,pocket_blocked,1,1,,none,0.013595800002804026,0.024174199999833945
pockets_filled,1.5,2,pocket_blocked,pocket_blocked,1,0,1,,0,pocket_blocked,1,1,,none,0.013448799996695016,0.023818499998014886
pockets_filled,1.5,3,pocket_blocked,pocket_blocked,1,0,1,,0,pocket_blocked,1,1,,none,0.01369189999968512,0.02432270000281278
pockets_filled,1.5,4,pocket_blocked,pocket_blocked,1,0,1,,0,pocket_blocked,1,1,,none,0.013784499999019317,0.024114100000588223
stringer_at_face,1.0,0,stringer_in_path,stringer_in_path,1,0,1,,0,stringer_in_path,1,1,,none,0.014442599996982608,0.02670129999751225
stringer_at_face,1.0,1,stringer_in_path,stringer_in_path,1,0,1,,0,stringer_in_path,1,1,,none,0.013029699999606237,0.02358770000137156
stringer_at_face,1.0,2,stringer_in_path,stringer_in_path,1,0,1,,0,stringer_in_path,1,1,,none,0.013281299994559959,0.025363900000229478
stringer_at_face,1.0,3,stringer_in_path,stringer_in_path,1,0,1,,0,stringer_in_path,1,1,,none,0.014309300000604708,0.026791600001160987
